address,area,baths,beds,building type,latitude,longitude,neighborhood,price
37-55 84th Street #3,N/A,1.0,2.0,Co-op,40.74829865,-73.88189697,Jackson Heights,548500.0
70-20 108th Street #3F,N/A,1.0,1.0,Co-op,40.72240067,-73.84490204,Forest Hills,299000.0
118-60 Metropolitan Avenue #5C,N/A,1.0,2.0,Co-op,40.70600128,-73.83300018,Kew Gardens,295000.0
27-21 44th Dr #2202,1263.0,2.0,3.0,Condo,40.7466011,-73.94159698,Hunters Point,1760000.0
4-74 48th Avenue #27F,863.0,1.0,1.0,Condop,40.7445,-73.9565,Hunters Point,648000.0
33-21 99th Street,N/A,4.0,9.0,Multi-family,40.75650024,-73.86920166,North Corona,1600000.0
133-31 88th Street,N/A,3.0,7.0,Multi-family,40.67359924,-73.84760284,Ozone Park,1050000.0
61-15 98th Street #5,800.0,1.0,1.0,Co-op,40.73450089,-73.85949707,Rego Park,319000.0
43-30 54th Street,N/A,3.5,5.0,House,40.74280167,-73.91110229,Woodside,1300000.0
109-55 Lefferts Boulevard,N/A,4.0,6.0,Multi-family,40.68080139,-73.82129669,Richmond Hill,789000.0
141-34 78 Rd #3A,N/A,1.0,2.0,Co-op,40.71870041,-73.81900024,Kew Gardens Hills,295000.0
33-19 103rd Street,N/A,2.0,4.0,House,40.75699997,-73.86540222,North Corona,758000.0
94-30 60th Avenue #4,1260.0,1.5,3.0,Co-op,40.73429871,-73.86530304,Elmhurst,395000.0
53-94 66th Street,N/A,2.0,3.0,House,40.72850037,-73.89900208,Elmhurst,999000.0
214-26 24th Avenue,3000.0,2.0,5.0,House,40.77959824,-73.77469635,Bayside,1549000.0
30-54 89th Street,3908.0,2.5,3.0,House,40.76029968,-73.87979889,Jackson Heights,829000.0
118-11 84th Avenue #406,900.0,1.0,1.0,Co-op,40.70460129,-73.83339691,Kew Gardens,299000.0
45-02 Ditmars Boulevard #418,698.0,1.0,1.0,Condo,40.77000046,-73.9036026,Astoria,610000.0
81-14 Queens Boulevard #5A,1020.0,2.0,2.0,Condo,40.737222,-73.881749,Elmhurst,750000.0
147-10 84th Rd #2G,N/A,1.0,2.0,Co-op,40.71239853,-73.81189728,Briarwood,229000.0
110-45 Queens Boulevard #210,850.0,1.0,1.0,Co-op,40.71969986,-73.83879852,Forest Hills,359000.0
46 Wendover Road,N/A,2.5,4.0,House,40.71179962,-73.83930206,Forest Hills,1899000.0
35-48 223rd Street,N/A,5.0,4.0,House,40.76959991,-73.76229858,Bayside,2080000.0
39-35 51st Street #4G,N/A,1.0,1.0,Co-op,40.74760056,-73.91259766,Sunnyside,389000.0
111-07 62 Dr,1850.0,3.0,4.0,Multi-family,40.73699951,-73.84690094,Forest Hills,1380000.0
102-06 27th Avenue,2850.0,4.0,7.0,Multi-family,40.7635994,-73.86740112,East Elmhurst,1499999.0
71-37 Park Drive East #B,N/A,1.0,1.0,Condo,40.72679901,-73.82949829,Kew Gardens Hills,349000.0
69-36 Juniper Valley Rd,N/A,2.0,2.0,Multi-family,40.71440125,-73.88569641,Middle Village,719000.0
46-25 247th Street,N/A,N/A,3.0,House,40.76440048,-73.73829651,Little Neck,899000.0
13-24 125th Street,N/A,2.0,4.0,Multi-family,40.78609848,-73.84329987,College Point,949000.0
60-37 Putnam Avenue,N/A,2.0,5.0,Multi-family,40.70600128,-73.89959717,Ridgewood,999000.0
116-41 227th Street,N/A,2.0,3.0,House,40.69369888,-73.73349762,Cambria Heights,515000.0
27-28 Thomson Avenue #706,1348.0,2.0,1.0,Condo,40.74570084,-73.94180298,Hunters Point,1585000.0
344 Beach 87th Street,N/A,3.0,6.0,Multi-family,40.58990097,-73.81220245,Hammels,579000.0
223-41 107th Avenue,N/A,3.0,4.0,House,40.70796,-73.72908,Queens Village,525000.0
67-30 Dartmouth Street #2H,800.0,1.0,1.0,Co-op,40.72119904,-73.85620117,Forest Hills,249000.0
147-07 10th Avenue #1,4434.0,4.0,6.0,Multi-family,40.79159927,-73.81990051,Whitestone,2500000.0
111-39 76 Road #E3,N/A,1.0,N/A,Co-op,40.71670151,-73.83589935,Forest Hills,228000.0
5918 Putnam Avenue # 2-FAMILY #1,2693.0,2.0,6.0,Multi-family,40.70510101,-73.90139771,Ridgewood,999723.0
7230 Burchell Avenue,1680.0,4.0,7.0,Multi-family,40.59619904,-73.80220032,Arverne,449000.0
2 Bay Club Dr #10V,950.0,1.0,2.0,Condo,40.77830124,-73.78109741,Bay Terrace (Queens),668000.0
37-11 84th Street #31,N/A,1.0,2.0,Co-op,40.74950027,-73.88210297,Jackson Heights,599000.0
226-26 77th Avenue,1784.0,2.5,3.0,House,40.73889923,-73.74520111,Bayside,939000.0
35-22 80th Street #32,N/A,1.0,1.0,Co-op,40.75090027,-73.88670349,Jackson Heights,349000.0
146-26 35th Avenue,N/A,N/A,7.0,Multi-family,40.76620102,-73.81990051,Murray Hill (Queens),1850000.0
21-10 44th Drive #4B,647.0,1.0,1.0,Condo,40.74779892,-73.9469986,Hunters Point,740000.0
140-50 Burden Crescent #5H,900.0,1.0,1.5,Co-op,40.71060181,-73.81659698,Briarwood,239000.0
206-12 Lori Dr #77L,N/A,N/A,2.0,Condo,40.78779984,-73.78730011,Bay Terrace (Queens),859000.0
137-33 68th Drive #B,665.0,1.0,2.0,Co-op,40.73109818,-73.82980347,Kew Gardens Hills,175000.0
127-17 Ninth Avenue,N/A,1.0,3.0,House,40.78950119,-73.84020233,College Point,650000.0
23-25 31st Avenue #PHC,741.0,1.0,1.0,Condo,40.766535,-73.927387,Astoria,799000.0
106-10 103rd Avenue,2185.0,1.0,3.0,House,40.68470001,-73.83540344,Woodhaven,529000.0
72-15 37th Avenue #6C,N/A,1.0,N/A,Co-op,40.74900055,-73.89330292,Jackson Heights,248500.0
80-51 263rd Street,N/A,1.0,4.0,House,40.74399948,-73.70749664,Glen Oaks Village,668000.0
164-28 109th Dr,1035.0,2.0,4.0,House,40.69469833,-73.78659821,South Jamaica,299900.0
151 Beach 96th Street #6C,1239.0,2.0,2.0,Condo,40.58369827,-73.81739807,Rockaway All,599000.0
154-33 12th Avenue,N/A,1.0,3.0,House,40.79169846,-73.80599976,Beechhurst,760000.0
133-25 84th Street,1216.0,N/A,3.0,House,40.6733017,-73.85179901,Ozone Park,540000.0
