"address","area","baths","beds","buildingtype","latitude","longitude","neighborhood","price","borough","pricearea","coastdist"
"575 Riverside Drive #3",1200,1,3,"Co-op",40.82080078,-73.95770264,"Manhattanville",625000,"manhattan",520.833333333,154.971022347488
"524 West 19th Street #PH",3319,4,4,"Condo",40.745585,-74.007352,"West Chelsea",12900000,"manhattan",3886.71286532,45.4330928965793
"875 Park Avenue #1A",3000,3.5,3,"Co-op",40.7745018,-73.96089935,"Upper East Side",7700000,"manhattan",2566.66666667,725.136010441948
"25 Columbus Circle #65B",1830,2.5,2,"Condo",40.76819992,-73.9822998,"Lincoln Square",11500000,"manhattan",6284.15300546,699.458348038015
"50 Lexington Avenue #21E",1000,2,2,"Condop",40.7405014,-73.98439789,"Flatiron",1285000,"manhattan",1285,906.969693600256
"10 West Street #24E",1437,2,2,"Condo",40.70560074,-74.01750183,"Battery Park City",2850000,"manhattan",1983.29853862,113.317210207598
"1036 Park Avenue #3C",1250,2,2,"Co-op",40.78010178,-73.95770264,"Upper East Side",1799000,"manhattan",1439.2,768.639962992788
"50 Riverside Boulevard #14B",1351,2,2,"Condo",40.77529907,-73.9905014,"Lincoln Square",3799000,"manhattan",2811.99111769,64.2849894199474
"100 Barrow Street #4C",1955,2.5,2,"Condop",40.73199844,-74.00749969,"West Village",3588000,"manhattan",1835.29411765,252.448756093927
"151 East 58th Street #PH53W",4500,4.5,3,"Condo",40.761567,-73.967901,"Sutton Place",37500000,"manhattan",8333.33333333,602.457155830879
"12 West 17th Street 9THFLOOR",2522,2,2,"Co-op",40.738161,-73.992816,"Flatiron",3795000,"manhattan",1504.75812847,1086.34581247433
"425 East 58th Street #45GH",5000,7,7,"Co-op",40.75870132,-73.96089935,"Sutton Place",6e+06,"manhattan",1200,80.8857499708265
"46 Great Jones Street TOPFLOOR",2000,1,3,"Co-op",40.72689819,-73.99240112,"Noho",3500000,"manhattan",1750,1365.16311513847
"321 East 84th Street",7050,9,7,"Multi-family",40.77629852,-73.95159912,"Yorkville",7990000,"manhattan",1133.33333333,260.889856588075
"60 Riverside Boulevard #1506",1071,2,2,"Condo",40.77569962,-73.98999786,"Lincoln Square",2450000,"manhattan",2287.58169935,51.6025471758594
"161 Maiden Ln #18C",736,1,1,"Condo",40.70550156,-74.00479889,"Financial District",1580000,"manhattan",2146.73913043,196.275093975123
"1200 Broadway #4/5F",2592,2,2,"Co-op",40.74610138,-73.98809814,"NoMad",2895000,"manhattan",1116.89814815,1185.92416934922
"212 Fifth Avenue #11B",2693,3.5,3,"Condo",40.74340057,-73.98870087,"NoMad",7450000,"manhattan",2766.43148905,1228.56134582139
"145 Hudson Street #PH",7493,4.5,4,"Condo",40.72109985,-74.00869751,"Tribeca",4.5e+07,"manhattan",6005.60523155,333.521018489152
"120 West 29th Street #2",1875,2,2,"Co-op",40.74679947,-73.9910965,"Chelsea",3400000,"manhattan",1813.33333333,1004.68564491956
