address,area,baths,beds,building type,latitude,longitude,neighborhood,price
40 Prospect Park West #1K,1100.0,1.0,1.0,Co-op,40.66999817,-73.97290039,Park Slope,849000.0
624 Saratoga Avenue,1756.0,3.0,5.0,Multi-family,40.66550064,-73.91680145,Brownsville,699000.0
227 Maujer Street #3B,862.0,1.0,1.5,Condo,40.7112999,-73.94120026,Williamsburg,799500.0
979 Bay Ridge Pkwy,1666.0,2.0,3.0,House,40.62480164,-74.01429749,Dyker Heights,1149000.0
1852 East 29th Street,1680.0,3.0,3.0,Townhouse,40.60599899,-73.94429779,Madison,895000.0
296 Macon,4800.0,4.0,6.0,Multi-family,40.68209839,-73.93890381,Stuyvesant Heights,2200000.0
306 Gold Street #39E,765.0,1.0,1.0,Condo,40.69499969,-73.98349762,Downtown Brooklyn,998000.0
299 Vanderbilt Avenue #1,3100.0,8.0,9.0,Townhouse,40.68909836,-73.96880341,Fort Greene,2899000.0
170 N 11th Street #6D,1251.0,2.0,2.0,Condo,40.71960068,-73.95500183,Williamsburg,1749000.0
100 Maspeth Avenue #4F,710.0,2.0,2.0,Condo,40.71569824,-73.93930054,East Williamsburg,775000.0
163 Ocean Avenue #M1,800.0,1.0,2.0,Co-op,40.65879822,-73.96209717,Prospect Lefferts Gardens,649000.0
246 Quincy Street #B,1258.0,2.5,2.0,Condo,40.68659973,-73.95159912,Bedford-Stuyvesant,1075000.0
596 2nd Street,4492.0,3.0,6.0,Multi-family,40.66949844,-73.97519684,Park Slope,3999999.0
1977 Eastern Pkwy,3645.0,3.0,6.0,Multi-family,40.67950058,-73.90650177,Ocean Hill,1199999.0
124 Blake Avenue #2,1920.0,5.0,4.0,Condo,40.66460037,-73.9151001,Brownsville,669000.0
355A Halsey Street #GARDEN,986.0,2.0,2.0,Condo,40.68320084,-73.93849945,Stuyvesant Heights,915000.0
2235 85th Street,1700.0,3.0,3.0,Townhouse,40.60200119,-73.99199677,Gravesend,949000.0
3203 Nostrand Avenue #1P,700.0,1.0,1.0,Co-op,40.605842,-73.942589,Homecrest,199000.0
345 Decatur Street,1776.0,2.0,3.0,Multi-family,40.682045,-73.929955,Stuyvesant Heights,1300000.0
246 Sumpter Street #1B,990.0,1.0,2.0,Condo,40.68040085,-73.91449738,Ocean Hill,399000.0
2547 West 2nd Street #2F,950.0,1.0,2.0,Co-op,40.58720016,-73.97100067,Gravesend,314000.0
