address,area,baths,beds,building type,latitude,longitude,neighborhood,price
4-74 48th Avenue #30F,863.0,1.0,1.0,Condop,40.74420166,-73.95680237,Hunters Point,665000.0
45-02 Ditmars Boulevard #418,698.0,1.0,1.0,Condo,40.77000046,-73.9036026,Astoria,610000.0
33-40 157th Street,6000.0,4.5,7.0,House,40.76720047,-73.80799866,Murray Hill (Queens),1899000.0
144-60 Gravett Road #3J,750.0,1.0,1.0,Co-op,40.73509979,-73.82289886,Flushing,120000.0
33-45 90th Street #4C,1000.0,1.0,2.0,Co-op,40.75550079,-73.87729645,North Corona,268000.0
133-38 Avery Avenue #2C,866.0,1.0,1.0,Condo,40.75279999,-73.83029938,Flushing,619000.0
164-34 99th Street,2500.0,3.0,5.0,Multi-family,40.65055,-73.8322,Old Howard Beach,679000.0
42-20 Kissena Boulevard #D15,750.0,1.0,1.0,Condo,40.75640106,-73.82659912,Flushing,369000.0
144-43 183rd Street,1780.0,2.5,4.0,House,40.66546,-73.76168,Springfield Gardens,489000.0
86-10 34th Avenue #113,1250.0,2.0,2.0,Co-op,40.75389862,-73.88079834,Jackson Heights,774000.0
34-48 86th Street,2600.0,3.5,5.0,House,40.75270081,-73.88140106,Jackson Heights,1675000.0
47-31 47th Street,1196.0,2.0,4.0,House,40.74010086,-73.91819763,Sunnyside,1958000.0
111-50 205th Street,1080.0,2.0,3.0,House,40.70394,-73.75175,St. Albans,449000.0
4-74 48th Avenue #31HJ,1560.0,2.0,3.0,Condop,40.74420166,-73.95680237,Hunters Point,1299000.0
10-27 47th Road #PHB,1581.0,3.0,3.0,Condo,40.74480057,-73.95220184,Hunters Point,2175000.0
126-13 116th Avenue,2000.0,2.0,2.0,House,40.6772995,-73.81220245,South Ozone Park,425000.0
92-81 222nd Street,1746.0,1.0,3.0,House,40.72384,-73.73347,Queens Village,489000.0
44-15 Purves #5A,965.0,2.0,2.0,Condo,40.74710083,-73.94100189,Hunters Point,1195000.0
27-21 44th Dr #2203,648.0,1.0,1.0,Condo,40.7466011,-73.94159698,Hunters Point,890000.0
144-39 222nd Street,2304.0,2.0,6.0,Multi-family,40.66439819,-73.75610352,Brookville,575000.0
43-10 Skillman Avenue,2080.0,2.0,5.0,Multi-family,40.746511,-73.921135,Sunnyside,1758000.0
41-24 45th Street,6600.0,8.0,7.0,Multi-family,40.745949,-73.918934,Sunnyside,3088000.0
85-07 67th Drive,2540.0,3.0,5.0,Multi-family,40.716411,-73.860939,Rego Park,1111888.0
41-22 45th Street,6600.0,8.0,7.0,Multi-family,40.746112,-73.919277,Sunnyside,2888000.0
27-21 44th Dr #2203,648.0,1.0,1.0,Condo,40.7466011,-73.94159698,Hunters Point,890000.0
81-14 Queens Boulevard #5A,1020.0,2.0,2.0,Condo,40.737222,-73.881749,Elmhurst,750000.0
175-07 145th Avenue,4050.0,2.0,4.0,House,40.66479874,-73.77290344,Springfield Gardens,479000.0
119-54 177th Street,3680.0,1.0,3.0,House,40.6855,-73.7684,St. Albans,415000.0
34-48 86th Street,2600.0,3.5,5.0,House,40.75270081,-73.88140106,Jackson Heights,1675000.0
4-74 48th Avenue #PH2E,1005.0,2.0,2.0,Condop,40.74420166,-73.95680237,Hunters Point,890000.0
225-52 Murdock Avenue,1683.0,2.0,3.0,House,40.70283,-73.73056,Cambria Heights,409999.0
61-09 39th Avenue #5H,706.0,1.0,1.0,Condo,40.74729919,-73.90219879,Woodside,498000.0
4-74 48th Avenue #12C,800.0,1.0,1.0,Condop,40.74420166,-73.95680237,Hunters Point,665000.0
4-74 48th Avenue #12C,800.0,1.0,1.0,Condop,40.74420166,-73.95680237,Hunters Point,665000.0
137-33 68th Drive #B,665.0,1.0,2.0,Co-op,40.73109818,-73.82980347,Kew Gardens Hills,175000.0
16116 85th Street,2704.0,3.0,4.0,House,40.65420151,-73.84670258,Rockwood Park,769000.0
61-20 Grand Central Pkwy #A405,1350.0,2.0,3.0,Co-op,40.7378006,-73.84750366,Forest Hills,589000.0
62-16 Cooper Avenue,1272.0,2.0,2.0,Multi-family,40.6977005,-73.89240265,Glendale,749000.0
85-58 66th Avenue,1258.0,2.0,3.0,House,40.718663,-73.862548,Rego Park,844000.0
176-15 133rd Road,1699.0,2.0,3.0,House,40.67660141,-73.76470184,Springfield Gardens,450000.0
70-18 67th Street,1760.0,2.0,5.0,Multi-family,40.70399857,-73.88780212,Glendale,798000.0
27-28 Thomson Avenue #350,1901.0,2.5,2.0,Condo,40.74570084,-73.94180298,Hunters Point,2399000.0
34-48 86th Street,2600.0,3.5,5.0,House,40.75270081,-73.88140106,Jackson Heights,1675000.0
70-46 66 Place,2080.0,3.0,5.0,Multi-family,40.7030983,-73.88829803,Glendale,869000.0
15830 87th Street,1850.0,2.0,3.0,House,40.65919876,-73.84580231,Rockwood Park,749000.0
71-62 71 Place,2920.0,3.0,7.0,Multi-family,40.70299911,-73.87989807,Glendale,1298000.0
4-74 48th Avenue #31HJ,1560.0,2.0,3.0,Condop,40.74420166,-73.95680237,Hunters Point,1299000.0
185-07 Dunlop Avenue,2200.0,1.0,2.0,Townhouse,40.70349884,-73.77100372,St. Albans,300000.0
98-120 Queens Boulevard #4B,850.0,1.0,1.0,Co-op,40.72679901,-73.85449982,Rego Park,299000.0
144-44 38th Avenue #2C,800.0,1.0,1.0,Co-op,40.76279831,-73.8207016,Flushing,279900.0
61-15 97th Street #14A,1150.0,2.0,2.0,Co-op,40.73389816,-73.86190033,Rego Park,495000.0
61-15 97th Street #8N,750.0,1.0,1.0,Co-op,40.73389816,-73.86190033,Rego Park,329900.0
4-74 48th Avenue #12C,800.0,1.0,1.0,Condop,40.74420166,-73.95680237,Hunters Point,665000.0
10 Holder Place #3D,1525.0,2.0,3.0,Co-op,40.71829987,-73.84279633,Forest Hills,1490000.0
61-15 97th Street #6J,1150.0,2.0,2.0,Co-op,40.73389816,-73.86190033,Rego Park,495000.0
64-65 211st Street,4070.0,5.0,7.0,House,40.74290085,-73.7641983,Bayside,2588000.0
144-77 Roosevelt Avenue #5F,1176.0,2.0,2.0,Condo,40.76290131,-73.81960297,Murray Hill (Queens),748000.0
