address,area,baths,beds,building type,latitude,longitude,neighborhood,price
130 Water Street #6/L,816.0,1.0,1.0,Condo,40.70569992,-74.00730133,Financial District,989000.0
443 Greenwich Street #5G,3022.0,3.5,3.0,Condo,40.72309875,-74.00910187,Tribeca,9200000.0
41 West 70th Street,8000.0,7.0,6.0,Townhouse,40.7757988,-73.97840118,Lincoln Square,15999999.0
353 East 72nd Street #17D,700.0,1.0,1.0,Co-op,40.7682991,-73.95649719,Upper East Side,769000.0
67 East 11th Street #701,800.0,1.0,1.0,Co-op,40.73300171,-73.99189758,Greenwich Village,1249000.0
245 Seventh Avenue #6BC,3239.0,3.5,4.0,Condo,40.74480057,-73.99479675,Chelsea,5500000.0
1 Central Park West #1222,711.0,1.0,1.0,Condo,40.76910019,-73.9815979,Lincoln Square,1390000.0
302 East 96th Street #801,522.0,1.0,1.0,Condo,40.78379822,-73.94670105,Yorkville,995000.0
14 East 4th Street #PH1122,1390.0,2.0,2.0,Condo,40.72790146,-73.99359894,Noho,3050000.0
57 Park Ter W #3H,800.0,1.0,1.0,Co-op,40.87120056,-73.91790009,Inwood,399000.0
100 Barclay Street #27A,2975.0,4.0,3.0,Condo,40.714102,-74.012712,Tribeca,7175000.0
21 East 12th Street #10B,1629.0,2.5,2.0,Condo,40.7342,-73.992986,Greenwich Village,4800000.0
20 West Street #19G,1018.0,1.0,1.0,Condo,40.70619965,-74.01560211,Financial District,1050000.0
330 East 38th Street #23IJ,1750.0,2.5,2.0,Condo,40.74629974,-73.97270203,Murray Hill,2950000.0
49 East 21st Street #5C,1461.0,2.0,2.0,Condo,40.73929977,-73.98770142,Flatiron,2700000.0
333 West 56th Street #2,820.0,1.0,1.0,Condo,40.76699829,-73.98490143,Hell's Kitchen,995000.0
435 East 77th Street #5E,700.0,1.0,1.0,Co-op,40.77069855,-73.95220184,Upper East Side,625000.0
60 Riverside Boulevard #1607,820.0,1.0,1.0,Condo,40.77569962,-73.98999786,Lincoln Square,1675000.0
349 East 49th Street #3B,850.0,1.0,1.0,Co-op,40.75370026,-73.96700287,Turtle Bay,599000.0
